observed_at_utc,paper_id,title,authors,venue,year,citations
2026-08-05T21:46:00Z,olpn-zPbct0C,"More individuals or more groups? Incorporating sampling effort, statistical power, and model accuracy when designing experiments","CM Lynch, M Starkey, D Montgomery, TP Pavlic, N Mizumoto","Behavioral Ecology and Sociobiology 79 (11), 106, 2025",2025,2
2026-08-05T21:46:00Z,wbdj-CoPYUoC,Intragenomic 18S Sequence Variability in the Termite Symbionts Kofoidia loriculata and Kofoidia repleta n. sp. (Parabasalia),"E Mirza, DE Jasso‐Selles, N Mizumoto, GH Gile","Journal of Eukaryotic Microbiology 72 (5), e70039, 2025",2025,2
2026-08-05T21:46:00Z,J-pR_7NvFogC,"Observation of tandem running behavior in dealates of Asian dampwood termite, Hodotermopsis sjostedti","N Mizumoto, W Chambliss, EP Carroll, T Nakazono, T Kanao","Journal of Ethology 43 (3), 239-245, 2025",2025,2
2026-08-05T21:46:00Z,KxtntwgDAa4C,TManual: Assistant for manually measuring length development in structures built by animals,N Mizumoto,"Ecology and Evolution 13 (8), e10394, 2023",2023,2
2026-08-05T21:46:00Z,kRWSkSYxWN8C,Evaluating mate encounter and walking dispersal dynamics of termites using posture tracking and behavioral simulation,N Mizumoto,"Journal of Pest Science 99 (2), 57, 2026",2026,1
2026-08-05T21:46:00Z,5ugPr518TE4C,Variation in soldier investment is linked to the evolution of termite soldier defense strategies,"A Satoh, I Planas-Sitjà, AL Cronin, N Mizumoto","Evolutionary Ecology 40 (2), 21, 2026",2026,1
2026-08-05T21:46:00Z,Mojj43d5GZwC,Loss of pair formation predates the evolution of male-less society in termites,"N Mizumoto, T Yashiro, S Hellemans","Evolution 80 (2), 460-471, 2026",2026,1
2026-08-05T21:46:00Z,tkaPQYYpVKoC,Nesting strategy reflects individual worker movement in termites,"K Kikuchi, T Bourguignon, N Mizumoto","Movement Ecology 13 (1), 88, 2025",2025,1
2026-08-05T21:46:00Z,geHnlv5EZngC,Predation-driven geographical isolation of broods in periodical cicadas,"DCN Cuaresma, MKA Gavina, JF Rabajante, JM Tubay, T Okabe, ...","Scientific Reports 14 (1), 27071, 2024",2024,1
2026-08-05T21:46:00Z,3s1wT3WcHBgC,オスとメスの相互探索の最適化が生み出す動きのパターンの性差,水元惟暁,"動物心理学研究 69 (1), 17-25, 2019",2019,1
2026-08-05T21:46:00Z,lSLTfruPkqcC,Barricade construction by primitive termites: Task allocation and evolutionary perspectives,N Mizumoto,"Artificial Life and Robotics 23 (4), 469-473, 2018",2018,1
2026-08-05T21:46:00Z,5awf1xo2G04C,Beyond mistakes: same-sex partner acceptance and broad mating filters coexist in termite pairing,"N Mizumoto, EP Carroll","EcoEvoRxiv, 2026",2026,0
2026-08-05T21:46:00Z,eq2jaN3J8jMC,Four decades of inland invasion by Formosan subterranean termite in Alabama: expansion associated with transportation infrastructure,"XP Hu, N Mizumoto","EcoEvoRxiv, 2026",2026,0
2026-08-05T21:46:00Z,9vf0nzSNQJEC,Hidden role plasticity of the reproductive caste in a morphologically differentiated termite society,"N Mizumoto, CH Kaliang, T Kanao","Oikos, e12492, 2026",2026,0
2026-08-05T21:46:00Z,dTyEYWd-f8wC,Body-like coordination emerges in paired termite locomotion,"N Mizumoto, S Kamimoto","bioRxiv, 2026.05. 22.727143, 2026",2026,0
2026-08-05T21:46:00Z,JoZmwDi-zQgC,Colony phase structure favors permanent worker evolution in juvenile social systems,N Mizumoto,"bioRxiv, 2026.04. 24.720620, 2026",2026,0
2026-08-05T21:46:00Z,_B80troHkn4C,Independent evolution of a living bridge in the old world army ant lineage,"N Mizumoto, K Arimoto, CH Kaliang, T Kanao","The Science of Nature 113 (2), 28, 2026",2026,0
2026-08-05T21:46:00Z,SdhP9T11ey4C,The evolutionary origin of group recruitment in acorn ants.,"GN Doering, S Gerardi, N Mizumoto, TA Linksvayer","APS Global Physics Summit 2026, 2026",2026,0
2026-08-05T21:46:00Z,Y5dfb0dijaUC,Testing the inbreeding hypothesis of neo-sex-chromosome evolution,"M Adams, K Kikuchi, S Araki, T Yashiro, N Mizumoto, S Hellemans, ...",,2025,0
2026-08-05T21:46:00Z,t6usbXjVLHcC,Diversification of pre-mating behaviors through temporal reordering of components,"E Carroll, T Kanao, N Lo, N Mizumoto","bioRxiv, 2025.10. 22.683896, 2025",2025,0
2026-08-05T21:46:00Z,XiVPGOgt02cC,Evolution of sideways locomotion in crabs,"J Taniguchi, T Inoue, K Kohara, JF Huang, A Hirai, N Mizumoto, ...","bioRxiv, 2025.09. 20.677458, 2025",2025,0
2026-08-05T21:46:00Z,PELIpwtuRlgC,小型生物へ複合刺激を印加可能にするサーボスフィアの制御と評価,志垣俊介， 永谷直久， 水元惟暁， 梅本和希， 龍宏亮， 藤澤隆介,"システム制御情報学会 研究発表講演会講演論文集 第 69 回システム制御情報学会研 …, 2025",2025,0
2026-08-05T21:46:00Z,bnK-pcrLprsC,Japan Eco-Evo English Seminar (JEEES): A platform for international science exchange and professional development in Japan,"H Fujioka, N Mizumoto, JM Kass","Japanese Journal of Ecology 75 (1), 119-126, 2025",2025,0
2026-08-05T21:46:00Z,1qzjygNMrQYC,おおい町および若狭町におけるナカジマシロアリ Glyptotermes nakajimai の報告,水元惟暁,"福井市自然史博物館研究報告= Bulletin of the Fukui City Museum of Natural …, 2024",2024,0
2026-08-05T21:46:00Z,u9iWguZQMMsC,Protocol to obtain long movement trajectories of leaders and followers in ant tandem runs,"Y Tanaka, G Valentini, SC Pratt, H Shimoji, N Mizumoto","STAR protocols 4 (4), 2023",2023,0
2026-08-05T21:46:00Z,eMMeJKvmdy0C,Evolution of leader-follower role in termite tandem runs,"N Mizumoto, K Kikuchi, S Hellemans, T Bourguignon, N Bailey",,2023,0
2026-08-05T21:46:00Z,OU6Ihb5iCvQC,"私とシロアリ, そして VR",水元惟暁,"日本バーチャルリアリティ学会誌 27 (2), 8-11, 2022",2022,0
2026-08-05T21:46:00Z,p2g8aNsByqUC,シロアリのランデブー探索,水元惟暁,"オペレーションズ・リサーチ 67, 167-172, 2022",2022,0
2026-08-05T21:46:00Z,zA6iFVUQeVQC,Convergent evolution of termite tunneling with differentiated behavioral rules,"N Mizumoto, P Bardunias, SC Pratt","Entomology 2019, 2019",2019,0
2026-08-05T21:46:00Z,2P1L_qKh6hAC,Sexually differential movements and optimization of mating encounters,N MIZUMOTO,"Japanese Journal of Animal Psychology 69 (1), 17-25, 2019",2019,0
